GeneID,NumberOfLiterature,PubMedIDs,GeneSymbol,Alias,Xref,Chromosome,Cytoband,FullName,GeneType,Description
10371,1,"19296128,",SEMA3A,COLL1|HH16|Hsema-I|Hsema-III|SEMA1|SEMAD|SEMAIII|SEMAL|SemD|coll-1,MIM:603961|HGNC:HGNC:10723|Ensembl:ENSG00000075213|Vega:OTTHUMG00000023443,7,7q21.11,semaphorin 3A,protein-coding,"semaphorin-3A|collapsin 1|sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A|semaphorin D|semaphorin III|semaphorin L"
2099,3,"24680642,15103224,25802405,",ESR1,ER|ESR|ESRA|ESTRR|Era|NR3A1,MIM:133430|HGNC:HGNC:3467|Ensembl:ENSG00000091831|Vega:OTTHUMG00000016103,6,6q25.1-q25.2,estrogen receptor 1,protein-coding,estrogen receptor|E2 receptor alpha|ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|nuclear receptor subfamily 3 group A member 1|oestrogen receptor alpha
1288,1,"18474427,",COL4A6,CXDELq22.3|DELXq22.3|DFNX6,MIM:303631|HGNC:HGNC:2208|Ensembl:ENSG00000197565|Vega:OTTHUMG00000022179,X,Xq22.3,collagen type IV alpha 6 chain,protein-coding,"collagen alpha-6(IV) chain|collagen IV, alpha-6 polypeptide|collagen of basement membrane, alpha-6|collagen, type IV, alpha 6|dJ889N15.4 (Collagen Alpha 6(IV))"
84231,2,"23404370,23348505,",TRAF7,RFWD1|RNF119,MIM:606692|HGNC:HGNC:20456|Ensembl:ENSG00000131653|Vega:OTTHUMG00000128826,16,16p13.3,TNF receptor associated factor 7,protein-coding,"E3 ubiquitin-protein ligase TRAF7|RING finger and WD repeat-containing protein 1|RING finger protein 119|RING-type E3 ubiquitin transferase TRAF7|TNF receptor-associated factor 7, E3 ubiquitin protein ligase|ring finger and WD repeat domain 1"
6513,1,"15147968,",SLC2A1,CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN,MIM:138140|HGNC:HGNC:11005|Ensembl:ENSG00000117394|Vega:OTTHUMG00000007657,1,1p34.2,solute carrier family 2 member 1,protein-coding,"solute carrier family 2, facilitated glucose transporter member 1|choreoathetosis/spasticity, episodic (paroxysmal choreoathetosis/spasticity)|glucose transporter type 1, erythrocyte/brain|hepG2 glucose transporter|human T-cell leukemia virus (I and II) receptor|receptor for HTLV-1 and HTLV-2|solute carrier family 2 (facilitated glucose transporter), member 1"
977,1,"22926763,",CD151,GP27|MER2|PETA-3|RAPH|SFA1|TSPAN24,MIM:602243|HGNC:HGNC:1630|Ensembl:ENSG00000177697|Vega:OTTHUMG00000133311,11,11p15.5,CD151 molecule (Raph blood group),protein-coding,CD151 antigen|CD151 antigen (Raph blood group)|hemidesmosomal tetraspanin CD151|membrane glycoprotein SFA-1|platelet surface glycoprotein gp27|platelet-endothelial cell tetraspan antigen 3|platelet-endothelial tetraspan antigen 3|tetraspanin-24|tspan-24
7157,97,"16670198,19019173,24344030,24586197,26980763,28782861,20352431,18165800,18372915,25284491,23029260,18974112,25118896,12084347,25539912,24481542,12107116,28358926,18359760,29885407,23835706,16473278,29789628,26192445,19428789,14682374,20497343,16260494,21378543,14654927,29323737,18374497,12567186,23009112,18821037,19100519,25915824,27292269,18393224,19151620,26320179,21317885,24590827,22886512,29661169,28369138,11936585,24840646,12208847,22683628,26598601,26061751,20174854,26290144,22805776,20336668,21060032,24036547,29369420,12543796,17251932,24038521,11818669,25533335,19816195,21569770,16151725,23620409,18184456,19779492,11859970,21156285,21046311,17390041,24679006,23166633,19832838,22591662,26717387,22335907,17180249,19174520,15015569,17587242,20632071,11948632,16696307,17907599,21882258,20142599,22275381,19224462,12217802,22265402,27671879,17917588,12609716,",TP53,BCC7|LFS1|P53|TRP53,MIM:191170|HGNC:HGNC:11998|Ensembl:ENSG00000141510|Vega:OTTHUMG00000162125,17,17p13.1,tumor protein p53,protein-coding,cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|p53 tumor suppressor|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53
5027,2,"28389503,27171399,",P2RX7,P2X7,MIM:602566|HGNC:HGNC:8537|Ensembl:ENSG00000089041|Vega:OTTHUMG00000169153,12,12q24.31,purinergic receptor P2X 7,protein-coding,"P2X purinoceptor 7|ATP receptor|P2X7 receptor|P2Z receptor|purinergic receptor P2X, ligand gated ion channel, 7|purinergic receptor P2X7 variant A"
4916,4,"21617231,17971243,18336001,16826429,",NTRK3,GP145-TrkC|TRKC|gp145(trkC),MIM:191316|HGNC:HGNC:8033|Ensembl:ENSG00000140538|Vega:OTTHUMG00000148677,15,15q25.3,neurotrophic receptor tyrosine kinase 3,protein-coding,"NT-3 growth factor receptor|ETS related protein-neurotrophic receptor tyrosine kinase fusion protein|ETV6-NTRK3 fusion|neurotrophic tyrosine kinase, receptor, type 3|tyrosine kinase receptor C"
5093,1,"26173642,",PCBP1,HEL-S-85|HNRPE1|HNRPX|hnRNP-E1|hnRNP-X,MIM:601209|HGNC:HGNC:8647|Ensembl:ENSG00000169564|Vega:OTTHUMG00000129645,2,2p13.3,poly(rC) binding protein 1,protein-coding,poly(rC)-binding protein 1|alpha-CP1|epididymis secretory protein Li 85|heterogeneous nuclear ribonucleoprotein E1|heterogenous nuclear ribonucleoprotein E1|heterogenous nuclear ribonucleoprotein X|nucleic acid-binding protein SUB2.3
4067,2,"15744341,18070987,",LYN,JTK8|p53Lyn|p56Lyn,MIM:165120|HGNC:HGNC:6735|Ensembl:ENSG00000254087|Vega:OTTHUMG00000044345,8,8q12.1,"LYN proto-oncogene, Src family tyrosine kinase",protein-coding,tyrosine-protein kinase Lyn|lck/Yes-related novel protein tyrosine kinase|v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
2013,1,"28887715,",EMP2,XMP,MIM:602334|HGNC:HGNC:3334|Ensembl:ENSG00000213853|Vega:OTTHUMG00000129752,16,16p13.13,epithelial membrane protein 2,protein-coding,epithelial membrane protein 2
1901,1,"24903384,",S1PR1,CD363|CHEDG1|D1S3362|ECGF1|EDG-1|EDG1|S1P1,MIM:601974|HGNC:HGNC:3165|Ensembl:ENSG00000170989|Vega:OTTHUMG00000010835,1,1p21.2,sphingosine-1-phosphate receptor 1,protein-coding,"sphingosine 1-phosphate receptor 1|S1P receptor 1|S1P receptor Edg-1|endothelial differentiation G-protein coupled receptor 1|endothelial differentiation, sphingolipid G-protein-coupled receptor, 1|sphingosine 1-phosphate receptor EDG1|sphingosine 1-phosphate receptor Edg-1"
